// ブロントさん
//黄金の鉄	FF11\ブロントさん\黄金２.wav
//完全論破	FF11\ブロントさん\完全論破.wav
//今謝れば許す	FF11\ブロントさん\今謝れば.wav
//上出来だ	FF11\ブロントさん\上出来だ.wav
//寝てろォ	FF11\ブロントさん\寝てろォ.wav
//やれやれだぜ	FF11\ブロントさん\やれやれだぜ.wav
//めんどくせぇ	FF11\ブロントさん\めんどくせぇ.wav
//生半可なナイトには真似できないダークパワー	FF11\ブロントさん\生半可なナイトには真似できないダークパワー.wav
//ヴォルカニックバイパ	FF11\ブロントさん\ヴォルカニックバイパ.wav
//メガトンインストール	FF11\ブロントさん\メガトンインストール.wav
//メガトンパンチ	FF11\ブロントさん\メガトンパンチ.wav
//ダークパワー	FF11\ブロントさん\ダークパワー.wav

# すごい漢
流影陣	龍虎外伝\すごい漢\流影陣.wav
//うおおおおおおお	龍虎外伝\すごい漢\うおおおおおおお.wav

# 筋肉
OK	リトルバスターズ！\真人\ＯＫ.wav
お、ナイスふんわり感じゃねぇか	リトルバスターズ！\真人\お、ナイスふんわり感じゃねぇか.wav
なるほど	リトルバスターズ！\真人\なるほど.wav
なわけあるかよ	リトルバスターズ！\真人\なわけあるかよ！.wav
筋肉ブーム到来ってわけだな	リトルバスターズ！\真人\筋肉ブーム到来ってわけだな.wav
関西人がノートをビームで焼き払っていきました	リトルバスターズ！\真人\関西人がノートをビームで焼き払っていきました。.wav

# カビラ
魔理沙	WE10\編集\マリサ！.wav
幽々子	WE2010\ジョン・カビラ\ゆゆこぉー！.wav
突然のし	WE2010\ジョン・カビラ\突然の死.wav

# 古舘
お疲れ様でした	古舘\編集ボイス\お疲れ様でした.wav
こちらは悶絶の空中庭園であります	古舘\編集ボイス\こちらは悶絶の空中庭園であります.wav
これは納得がいかない	古舘\編集ボイス\これは納得がいかない.wav
すごい漢だ	古舘\編集ボイス\すごい漢だ２.wav
フェイントだ	古舘\編集ボイス\フェイントだ.wav
モンスターハンター	古舘\編集ボイス\モンスターハンター４.wav
よくわかります	古舘\編集ボイス\よくわかります.wav
よくわかりません	古舘\編集ボイス\よくわかりません.wav
わかりません	古舘\編集ボイス\わかりません.wav
囲まれた	古舘\編集ボイス\囲まれた.wav
悔しがっております	古舘\編集ボイス\悔しがっております.wav
危ないところでした	古舘\編集ボイス\危ないところでした.wav
拒絶されてしまった	古舘\編集ボイス\拒絶されてしまった.wav
時すでに時間切れ	古舘\編集ボイス\時既に時間切れ.wav
人体の平行移動	古舘\編集ボイス\人体の平行移動.wav
設置していきます	古舘\編集ボイス\設置していきます.wav
全く余裕の展開か	古舘\編集ボイス\全く余裕の展開か.wav
挑発している	古舘\編集ボイス\挑発している.wav
頭の筋肉フル稼働	古舘\編集ボイス\頭の筋肉フル稼働！.wav
危ない	古舘\MuscleWars\KINBAN_01778.wav
大丈夫か	古舘\MuscleWars\KINBAN_01800.wav
金剛くん	古舘\MuscleWars\KINBAN_05186.wav
この程度で満足することはできない	古舘\MuscleWars\KINBAN_01081.wav
当然でしょう	古舘\MuscleWars\KINBAN_00958.wav

# BlazBlue BB
## ハザマ
ヒャッハー	ＢＢ\ハザマ\ヒャッハー.wav
カカッとね	ＢＢ\ハザマ\ｶｶｯとね.wav

## バング殿
いかにも	ＢＢ\バング\いかにも！.wav
あるぇー	ＢＢ\バング\あるぇーえ？.wav
準備万端	ＢＢ\バング\準備万端！.wav
精進せよ	ＢＢ\バング\精進せよ.wav
声が小さい	ＢＢ\バング\声が小さい！.wav
説明しよう	ＢＢ\バング\説明しよう！.wav

## ハクメン
ズェア	ＢＢ\ハクメン\ズェェア.wav

## ココノエ
汚いなさすが忍者きたない	ＢＢ\ココノエ\汚いなさすが忍者きたない.wav

## レイチェル
よくできました	ＢＢ\レイチェル\よくできました.wav
教育の時間よ	ＢＢ\レイチェル\教育の時間よ.wav

# 北斗
## トキ
ユクゾッ	北斗\トキ\TK_APP_01.wav.wav
ハァーン	北斗\トキ\TK_ATK2_02A.wav.wav
トラエラレマイ	北斗\トキ\TK_ATK2_19B.wav.wav
激流に身を任せ同化する	北斗\トキ\TK_ATK2_17B.wav.wav
激流を制するは清水	北斗\トキ\TK_ATK2_20.wav.wav
北斗有情破顔拳	北斗\トキ\TK_ATK2_28.wav.wav
命は投げ捨てるものではない	北斗\トキ\TK_WDL_00.wav.wav
半人前の技では俺は倒せんぞ	北斗\トキ\TK_WDL_01.wav.wav

## ジャギ様
今は悪魔が微笑む時代なんだ	北斗\ジャギ\JG_ATK2_SN_34B.w.wav
ひゃっはー	北斗\ジャギ\JG_ATK2_22.wav.wav
俺の名を言ってみろ	北斗\ジャギ\JG_ATK2_04.wav.wav
もう一度だけチャンスをやろう	北斗\ジャギ\JG_ATK2_06.wav.wav
どこへも逃げられんぞ	北斗\ジャギ\JG_ATK2_25.wav.wav
勝てば良いんだ何を使おうが	北斗\ジャギ\JG_ATK2_27.wav.wav
何を迷うことがある奪い取れ	北斗\ジャギ\JG_ATK2_SN_33C.w.wav
勝てばいい。それが全てだ	北斗\ジャギ\JG_WDL_02.wav.wav

# 艦隊これくしょん 艦これ
## 【駆逐艦】
### 夕雲型
#### 長波
活きの良い艦娘仕上がったぜ	艦これ\長波改\5_建造完了.mp3
ぶっ壊れ艦娘復帰したよ	艦これ\長波改\6_修理完了.mp3
痛くなんかないけどね	艦これ\長波改\11_入渠1.mp3
服を切らせて骨を断つのよ	艦これ\長波改\17_戦闘3.mp3
うーんドラム缶	艦これ\長波改\26_補給.mp3
補給こそ全ての基本だな	艦これ\長波改\27_感謝3.mp3

#### 清霜
戦艦と一緒に出撃したいのに	艦これ\清霜改\11_入渠.mp3
清霜に任せて	艦これ\清霜改\13_出撃1.mp3
夕雲姉さんたちにも負けませんから	艦これ\清霜改\15_戦闘1.mp3
今度は守るって言ったでしょ	艦これ\清霜改\17_戦闘3.mp3
ゴチになります	艦これ\清霜改\27_感謝3.mp3

#### 早霜
見ています	艦これ\早霜改\26.mp3

### 陽炎型
#### 陽炎
やっと会えた	艦これ\陽炎改\やっと会えた.wav
出番かしら	艦これ\陽炎改\2.mp3
な～に？お話したいの？	艦これ\陽炎改\3.mp3
作戦完了よ	艦これ\陽炎改\7.mp3
陽炎休憩入りまーす	艦これ\陽炎改\11.mp3
yaggy	艦これ\陽炎改\yaggy.wav

#### 不知火
ご指導ご鞭撻	艦これ\不知火改\ご指導ご鞭撻.wav
不知火に何か御用ですか	艦これ\不知火改\3.mp3
不知火に落ち度でも	艦これ\不知火改\4.mp3
通信が入っています	艦これ\不知火改\8.mp3
すいらいせんたん	艦これ\不知火改\13.mp3
沈め	艦これ\不知火改\15.mp3
弱いのね	艦これ\不知火改\17.mp3
徹底的に追い詰めてやるわ	艦これ\不知火改\18.mp3

#### 黒潮
よろしゅうな	艦これ\黒潮改\よろしゅうな.wav
ぼちぼちやな	艦これ\黒潮改\26.mp3

#### 天津風
良い風来てる	艦これ\天津風改\1_自己紹介.mp3
良い風ね	艦これ\天津風改\2_タッチ1.mp3
どういう風の吹き回しかしら	艦これ\天津風改\3_タッチ2.mp3
逃がさないって言ったでしょ	艦これ\天津風改\18_戦闘4.mp3
や、やったわね	艦これ\天津風改\20_中破.mp3

#### 時津風
嬉しい嬉しい	艦これ\時津風改\10_感謝2.mp3
お風呂に浸かるよ	艦これ\時津風改\12_入渠2.mp3
さあ、叩くよ	艦これ\時津風改\17_戦闘3.mp3

#### 舞風
それワンツー	艦これ\舞風改\16.mp3
やるじゃない	艦これ\舞風改\26.mp3
また踊れますね	艦これ\舞風改\27.mp3

#### 雪風
はい、頑張ります	艦これ\雪風改\2.mp3
連合艦隊の出撃です	艦これ\雪風改\14.mp3
雪風は沈みません	艦これ\雪風改\15.mp3
艦隊をお守りします	艦これ\雪風改\16.mp3
沈みわけにはいきません	艦これ\雪風改\17.mp3
砲雷撃戦、続行します	艦これ\雪風改\18.mp3
絶対、大丈夫	艦これ\雪風改\26.mp3
幸運の女神のキスを感じちゃいます	艦これ\雪風改\27.mp3

#### 磯風
どうした	艦これ\磯風\2.mp3
進もう	艦これ\磯風\26.mp3

#### 谷風
何？よしよしされたいの	艦これ\谷風改\4.mp3
修理完了ってか	艦これ\谷風改\6.mp3
ぃよっしゃあ	艦これ\谷風改\9.mp3
こいつは粋な計らいだね	艦これ\谷風改\10.mp3
一っ風呂浴びてくるかなあ	艦これ\谷風改\11.mp3
よいしょー	艦これ\谷風改\16.mp3
ガッテン	艦これ\谷風改\17.mp3
ちくしょうめー	艦これ\谷風改\18.mp3
ナンテコッタ	艦これ\谷風改\19.mp3
かぁー	艦これ\谷風改\20.mp3
おう景気良いな	艦これ\谷風改\26.mp3
かぁーこれで勝つる	艦これ\谷風改\27.mp3
これで勝つる	艦これ\谷風改\これで勝つる.wav

### 島風
おうっ	艦これ\島風改\2.mp3
おっそーい	艦これ\島風改\26.mp3

### 睦月型
#### 睦月
睦月ですー！張り切って参りましょ	艦これ\睦月改\1.mp3
何ですか何ですか	艦これ\睦月改\3.mp3
ちょっと休みたいのね	艦これ\睦月改\11.mp3
主砲も魚雷もあるんだよ	艦これ\睦月改\17.mp3
およ？	艦これ\睦月改\26.mp3

#### 弥生
これでどう	艦これ\弥生改\16.mp3
いいけど	艦これ\弥生改\26.mp3
怒ってなんかないですよ	艦これ\弥生改\3.mp3

#### 卯月
お疲れぴょん	艦これ\卯月改\7.mp3
うびゃー	艦これ\卯月改\19.mp3
ぷっぷくぷー	艦これ\卯月改\26.mp3

#### 文月
ちょっとお茶にしてまーす	艦これ\文月改二\11.mp3
これでもくらえ	艦これ\文月改二\16.mp3
いい感じ	艦これ\文月改二\26.mp3
ありがとうねー	艦これ\文月改二\27.mp3

### 白露型
#### 時雨
見つけたよ	艦これ\時雨改二\15_戦闘1.mp3
ここは譲れない	艦これ\時雨改二\16_戦闘2.mp3
残念だったね	艦これ\時雨改二\17_戦闘3.mp3
君たちには失望したよ	艦これ\時雨改二\18_戦闘4.mp3
やめてよ、痛いじゃないか	艦これ\時雨改二\20_中破.mp3
雨はいつか止むさ	艦これ\時雨改二\26_補給.mp3

#### 白露
いっちばーん	艦これ\白露改\26.mp3

#### 夕立
ぽい？	艦これ\夕立改二\26.mp3

#### 涼風
てやんでい	艦これ\涼風改\17.mp3

#### 山風
できた	艦これ\山風改\5.mp3
戻ってきたよ	艦これ\山風改\7.mp3
いいのに	艦これ\山風改\10.mp3
あなたも沈めば	艦これ\山風改\17.mp3
まあいいか	艦これ\山風改\26.mp3

### 朝潮型
#### 霰（あられ）
んちゃ	艦これ\霰改\26.mp3
ごちそうさま	艦これ\霰改\27.mp3

#### 霞（かすみ）
だから何よ	艦これ\霞改\3.mp3
はぁ？それで逆ギレ？だらしないったら	艦これ\霞改\4.mp3
まあ、お礼は言わないわ	艦これ\霞改\10.mp3
タイミングおかしいったら	艦これ\霞改\11.mp3
沈みなさい	艦これ\霞改\15.mp3
惨めよね	艦これ\霞改\16.mp3
ねばいいのに	艦これ\霞改\17.mp3
つまらないわ	艦これ\霞改\26.mp3

### 綾波型
#### 綾波
はい、大丈夫ですよ	艦これ\綾波改\2.mp3
お茶にいたしましょうか	艦これ\綾波改\3.mp3
少しだけ休ませてください	艦これ\綾波改\11.mp3
やりましたー	艦これ\綾波改\26.mp3
ありがとうございます	艦これ\綾波改\27.mp3

### 第六駆逐隊
#### 響
ダスビダーニャ	艦これ\ヴェールヌイ\4.mp3
До свидания	艦これ\ヴェールヌイ\4.mp3
до свидания	艦これ\ヴェールヌイ\4.mp3
スパシーバ	艦これ\ヴェールヌイ\11.mp3
スパスィーバ	艦これ\ヴェールヌイ\11.mp3
Спасибо	艦これ\ヴェールヌイ\11.mp3
спасибо	艦これ\ヴェールヌイ\11.mp3
無駄だね	艦これ\ヴェールヌイ\16.mp3
ハラショー	艦これ\ヴェールヌイ\17.mp3
хорошо	艦これ\ヴェールヌイ\17.mp3
Хорошо	艦これ\ヴェールヌイ\17.mp3
ウラー	艦これ\ヴェールヌイ\18.mp3
Ура	艦これ\ヴェールヌイ\18.mp3
ура	艦これ\ヴェールヌイ\18.mp3
沈まんさ	艦これ\ヴェールヌイ\20.mp3
さすがにこれは恥ずかしいな	艦これ\ヴェールヌイ\21.mp3

#### 雷
私がいるじゃない	艦これ\雷改\3.mp3
もっと私に頼っていいのよ	艦これ\雷改\4.mp3

#### 電
電の本気を見るのです	艦これ\電改\13.mp3
なのです	艦これ\電改\15.mp3
魚雷装填です	艦これ\電改\16.mp3
命中させちゃいます	艦これ\電改\17.mp3
ふにゃー	艦これ\電改\20.mp3

#### 暁
お子様言うな	艦これ\暁改\17.mp3
へっちゃらだし	艦これ\暁改\19.mp3

### 神風型
#### 春風
ごきげんよう	艦これ\春風改\26.mp3

#### 松風
ああ完成したね	艦これ\松風改\5.mp3
ありかな	艦これ\松風改\9.mp3
こういうの嫌いじゃない	艦これ\松風改\26.mp3
よーし行こう	艦これ\松風改\27.mp3

### 初春型
#### 若葉
この瞬間を待っていた	艦これ\若葉改\18.mp3

## 【軽巡洋艦】
### 球磨型
#### 球磨
